x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
1.262626262626262648e-08,2.057372434546820754e+26,2.059924798665213738e+26,2.062136501071353444e+26,2.062426341303943457e+26,2.062860317618253237e+26,1.010715175160771615e+26,9.244452273493166544e+25
1.363636363636363620e-08,2.056879402952180947e+26,2.059614512141520750e+26,2.061981699101091224e+26,2.062291717102122165e+26,2.062755819645581865e+26,1.012508165188871045e+26,9.258657058512304778e+25
1.313131313131313134e-08,2.057126140523137987e+26,2.059769744166183494e+26,2.062059122386472157e+26,2.062359046090354249e+26,2.062808078826137189e+26,1.011613552510394183e+26,9.251566266503253176e+25
1.414141414141414271e-08,2.056632220803989331e+26,2.059459102328987517e+26,2.061904231181987182e+26,2.062224354317341153e+26,2.062703540066402349e+26,1.013399040819464065e+26,9.265724771402382727e+25
1.363636363636363620e-08,2.056879403019044310e+26,2.059614512158520918e+26,2.061981699103239738e+26,2.062291717103541909e+26,2.062755819646249131e+26,1.012508163447721539e+26,9.258657050810457754e+25
1.464646464646464757e-08,2.056384592844521799e+26,2.059303514414776990e+26,2.061826718589460102e+26,2.062156957709832530e+26,2.062651240076394751e+26,1.014286211931596869e+26,9.272769549181252813e+25
1.414141414141414271e-08,2.056632220871082218e+26,2.059459102346023075e+26,2.061904231184138101e+26,2.062224354318760897e+26,2.062703540067069616e+26,1.013399039098300246e+26,9.265724763762625468e+25
1.515151515151515243e-08,2.056136517902417072e+26,2.059147748101408740e+26,2.061749161285917340e+26,2.062089527254804369e+26,2.062598919664020383e+26,1.015169708940845038e+26,9.279791526998506627e+25
1.464646464646464757e-08,2.056384592911846614e+26,2.059303514431851031e+26,2.061826718591614802e+26,2.062156957711253648e+26,2.062651240077063392e+26,1.014286210230133892e+26,9.272769541602959972e+25
1.565656565656565729e-08,2.055887994802329519e+26,2.058991803090755686e+26,2.061671559233717800e+26,2.062022062927452719e+26,2.062546578817728532e+26,1.016049561915392254e+26,9.286790838920955608e+25
